v,p,t,w,a,h,cruise
173.66687,16.80966,-13.49449,39008.67969,4.84064,15372.42871,0
173.9847,16.80037,-13.52157,39007.80859,4.7613,15386.12402,0
174.30038,16.79093,-13.54908,39006.9375,4.63199,15400.03711,0
174.65746,16.78164,-13.57619,39006.0625,4.44575,15413.73633,0
175.09953,16.77291,-13.60163,39005.1875,4.28922,15426.59082,0
175.64771,16.76507,-13.62451,39004.31641,4.18747,15438.1377,0
176.29865,16.75841,-13.64395,39003.44531,4.13507,15447.95312,0
177.049,16.75286,-13.66015,39002.57031,4.11529,15456.12305,0
177.88315,16.74833,-13.67338,39001.70312,4.11186,15462.79688,0
178.77757,16.74467,-13.68403,39000.83594,4.1108,15468.17383,0
179.71951,16.74169,-13.69275,38999.96094,4.10227,15472.56641,0
180.68806,16.73921,-13.69999,38999.08594,4.08127,15476.22461,0
181.66885,16.73707,-13.70622,38998.21875,4.0463,15479.36816,0
182.6563,16.73517,-13.71178,38997.33984,3.99827,15482.17773,0
183.64828,16.7334,-13.71692,38996.47266,3.93961,15484.77832,0
184.64241,16.73174,-13.72177,38995.60547,3.87324,15487.22559,0
185.63499,16.73017,-13.72636,38994.73828,3.80236,15489.54492,0
186.62823,16.72869,-13.7307,38993.86719,3.72994,15491.73828,1
187.62376,16.72729,-13.73478,38993.00391,3.65756,15493.7998,1
188.61884,16.72599,-13.73856,38992.13281,3.58666,15495.70996,1
189.61595,16.72481,-13.74202,38991.26953,3.51805,15497.45703,1
190.61711,16.72374,-13.74514,38990.39453,3.45159,15499.03516,1
191.62227,16.72278,-13.74794,38989.52344,3.38657,15500.44531,1
192.6257,16.72194,-13.75039,38988.66016,3.32396,15501.68555,1
193.63074,16.7212,-13.75255,38987.78906,3.26207,15502.77148,1
194.6315,16.72056,-13.75442,38986.92188,3.20184,15503.71777,1
195.63257,16.72,-13.75605,38986.05469,3.14251,15504.53809,1
196.63107,16.71952,-13.75746,38985.18359,3.08367,15505.25098,1
197.62386,16.7191,-13.75867,38984.3125,3.02548,15505.86426,1
198.61583,16.71875,-13.75972,38983.44922,2.96809,15506.39355,1
199.60004,16.71844,-13.76062,38982.57422,2.91143,15506.84473,1
200.57947,16.71818,-13.76138,38981.70312,2.85536,15507.23145,1
201.55034,16.71795,-13.76203,38980.83984,2.80044,15507.55762,1
202.51715,16.71777,-13.76256,38979.96875,2.74667,15507.8291,1
203.479,16.71762,-13.76301,38979.09375,2.69352,15508.05176,1
204.43063,16.7175,-13.76336,38978.23047,2.64121,15508.22949,1
205.37831,16.71741,-13.76363,38977.35938,2.59006,15508.36523,1
206.31937,16.71734,-13.76383,38976.49219,2.53968,15508.46484,1
207.25285,16.71729,-13.76396,38975.62109,2.49017,15508.53223,1
208.17815,16.71727,-13.76403,38974.75391,2.44197,15508.56738,1
209.09593,16.71726,-13.76405,38973.88281,2.39458,15508.57715,1
210.00603,16.71727,-13.76402,38973.01172,2.34811,15508.5625,1
210.90808,16.7173,-13.76395,38972.14453,2.30253,15508.52344,1
211.80005,16.71734,-13.76383,38971.27734,2.25798,15508.46777,1
212.68546,16.71739,-13.76369,38970.40625,2.21435,15508.39258,1
213.56529,16.71745,-13.76351,38969.53516,2.17145,15508.2998,1
214.43802,16.71752,-13.7633,38968.66797,2.12929,15508.19531,1
215.29308,16.7176,-13.76307,38967.79297,2.0884,15508.08008,1
216.14813,16.71768,-13.76282,38966.92188,2.0479,15507.95508,1
216.99469,16.71777,-13.76256,38966.05469,2.00801,15507.81934,1
217.83395,16.71787,-13.76227,38965.18359,1.96926,15507.67676,1
218.66301,16.71797,-13.76198,38964.3125,1.93111,15507.52734,1
219.48688,16.71808,-13.76167,38963.4375,1.89374,15507.37207,1
220.30067,16.71819,-13.76135,38962.57031,1.85717,15507.21191,1
221.10629,16.7183,-13.76103,38961.69922,1.82128,15507.04883,1
221.90414,16.71841,-13.7607,38960.82422,1.78608,15506.88184,1
222.69301,16.71852,-13.76037,38959.96094,1.75158,15506.71191,1
223.47472,16.71864,-13.76002,38959.08594,1.71783,15506.53906,1
224.24843,16.71876,-13.75968,38958.21484,1.68468,15506.36621,1
225.01512,16.71888,-13.75934,38957.34375,1.65218,15506.19141,1
225.77286,16.71899,-13.75899,38956.47656,1.62022,15506.01562,1
226.52545,16.71911,-13.75864,38955.60156,1.58892,15505.84082,1
227.26958,16.71923,-13.7583,38954.72656,1.55812,15505.66602,1
228.0051,16.71935,-13.75795,38953.85547,1.52793,15505.49121,1
