#v_a,w,h
:2005-08-06 133310000-0400:129.50,16700.00,3331.07
:2005-08-06 133320000-0400:129.50,16700.00,3331.07
:2005-08-06 133330000-0400:133.70,16700.00,2828.34
:2005-08-06 133340000-0400:133.70,16700.00,2828.34
:2005-08-06 133350000-0400:133.70,16700.00,2417.80
:2005-08-06 133400000-0400:129.75,16700.00,2417.80
:2005-08-06 133410000-0400:133.91,16700.00,2063.50
:2005-08-06 133420000-0400:135.87,16700.00,2063.50
:2005-08-06 133430000-0400:135.87,16700.00,1658.90
:2005-08-06 133440000-0400:130.07,16700.00,1658.90
:2005-08-06 133450000-0400:130.07,16700.00,1380.15
:2005-08-06 133500000-0400:130.61,16700.00,1380.15
:2005-08-06 133510000-0400:130.61,16700.00,1380.15
:2005-08-06 133520000-0400:136.48,16700.00,1031.49
:2005-08-06 133530000-0400:129.53,16700.00,1031.49
