   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
227.82301,18.73726,-7.97092,1.22725,38886.04297
228.12369,18.73921,-7.96543,1.31752,38885.40625
228.37744,18.74057,-7.9616,1.33176,38884.76172
228.57323,18.7411,-7.9601,1.3011,38884.12891
228.72357,18.74092,-7.96063,1.25343,38883.49609
228.84877,18.74023,-7.96255,1.20553,38882.84375
228.96146,18.73929,-7.96522,1.16611,38882.20703
229.0726,18.73828,-7.96806,1.13847,38881.5625
229.19359,18.73732,-7.97075,1.122,38880.92578
229.32472,18.7365,-7.97306,1.1134,38880.28906
229.46707,18.73583,-7.97496,1.11034,38879.66406
229.6145,18.7353,-7.97645,1.10959,38879.03516
229.76923,18.73489,-7.97761,1.10981,38878.40625
229.92383,18.73457,-7.97853,1.10914,38878.09375
230.08226,18.7343,-7.97927,1.10712,38877.44141
230.23988,18.73408,-7.97991,1.10372,38876.80469
230.39781,18.73387,-7.98049,1.09912,38876.16797
230.55569,18.73368,-7.98103,1.09421,38875.53516
230.71187,18.7335,-7.98153,1.08823,38874.89062
271.30103,17.69482,-10.93476,0.14046,38867.00781
260.30292,17.64887,-11.06664,0.34145,38861.29297
243.28925,17.44187,-11.6621,0.85334,38856.95312
242.22118,17.43808,-11.67304,0.91027,38856.09375
241.71169,17.43664,-11.67719,0.98638,38855.65625
240.1823,17.43622,-11.6784,0.94295,38853.9375
239.89748,17.43783,-11.67376,1.04474,38853.50391
239.59283,17.43932,-11.66946,1.10285,38853.03516
239.2572,17.44042,-11.66628,1.12821,38852.60547
238.88956,17.44105,-11.66448,1.13115,38852.17578
