time,v_a,v_g,prs,tmp,lat,lon,alt_r,alt_i,payld,fuel,curr_w,cg,gear
5753.7534,52.093132,52.411816,29.611223,0.011498368,42.738937,-73.80441,0.4011774,279.18686,374.00003,286.37558,2299.3755,0.0032480857,224.98026
5753.9536,52.72172,53.041073,29.611254,0.011555003,42.738983,-73.80442,0.41585347,279.15823,374.00003,286.37558,2299.3755,0.0032480857,199.32396
5754.1543,53.345226,53.666767,29.611288,0.011622924,42.739033,-73.80442,0.42170882,279.1239,374.00003,286.37558,2299.3755,0.0032480857,185.9105
5754.3545,53.963825,54.283066,29.611315,0.011682677,42.739082,-73.80443,0.41689134,279.0937,374.00003,286.37558,2299.3755,0.0032480857,181.89262
5754.5547,54.573135,54.893246,29.611334,0.011716588,42.739136,-73.80443,0.40374464,279.07654,374.00003,286.37558,2299.3755,0.0032480857,182.10861
5754.7554,55.171238,55.49449,29.611334,0.01171441,42.739185,-73.804436,0.38717142,279.07764,374.00003,286.3562,2299.3562,0.0032480857,193.17255
5754.9556,55.75848,56.0886,29.611313,0.011673766,42.739235,-73.804436,0.37471557,279.09818,374.00003,286.3562,2299.3562,0.0032480857,193.51657
5755.156,56.341797,56.676125,29.611277,0.011605993,42.73929,-73.804436,0.37089077,279.13245,374.00003,286.3562,2299.3562,0.0032480857,180.2185
5755.356,56.921314,57.258614,29.611242,0.011533864,42.73934,-73.80444,0.37673253,279.1689,374.00003,286.3562,2299.3562,0.0032480857,165.73581
5755.556,57.49499,57.83774,29.611214,0.011480051,42.739395,-73.80444,0.39108598,279.19614,374.00003,286.3562,2299.3562,0.0032480857,151.53728
5755.7563,58.0694,58.4159,29.611208,0.011461982,42.73945,-73.80445,0.40986705,279.20526,374.00003,286.3364,2299.3364,0.0032480857,138.70224
5755.9565,58.642403,58.991196,29.611216,0.011486091,42.739502,-73.80445,0.427123,279.19308,374.00003,286.3364,2299.3364,0.0032480857,129.8768
5756.357,59.780224,60.130215,29.611282,0.011617776,42.739613,-73.80446,0.43595767,279.1265,374.00003,286.3364,2299.3364,0.0032480857,161.12106
5756.557,60.33493,60.688686,29.61131,0.0116706975,42.73967,-73.80446,0.42853245,279.09973,374.00003,286.3364,2299.3364,0.0032480857,117.649734
5756.7573,60.88255,61.238804,29.61132,0.01168842,42.739723,-73.80446,0.41475803,279.09076,374.00003,286.31653,2299.3167,0.0032480857,110.6718
5756.9575,61.423267,61.781166,29.611307,0.0116602015,42.73978,-73.80447,0.40190032,279.10504,374.00003,286.31653,2299.3167,0.0032480857,98.47074
5757.1577,61.955273,62.316616,29.611269,0.01159337,42.739838,-73.80447,0.39643174,279.13882,374.00003,286.31653,2299.3167,0.0032480857,83.39751
5757.558,63.007774,63.375874,29.611197,0.011446882,42.739956,-73.804474,0.41761956,279.2129,374.00003,286.31653,2299.3167,0.0032480857,60.688335
5757.7583,63.534306,63.904102,29.611187,0.011422278,42.740013,-73.804474,0.43866652,279.22534,374.00003,286.297,2299.2969,0.0032480857,56.477455
5757.9585,64.06618,64.43819,29.6112,0.011453516,42.740074,-73.804474,0.4543146,279.20953,374.00003,286.297,2299.2969,0.0032480857,112.854195
5758.1587,64.59942,64.970146,29.611242,0.011533517,42.74013,-73.80448,0.45754975,279.1691,374.00003,286.297,2299.2969,0.0032480857,165.0475
5758.359,65.1226,65.49439,29.611277,0.011606191,42.740192,-73.80448,0.4576803,279.13235,374.00003,286.297,2299.2969,0.0032480857,106.04283
5758.559,65.63217,66.008,29.611298,0.01164441,42.740253,-73.80448,0.45249858,279.11304,374.00003,286.297,2299.2969,0.0032480857,60.72945
5758.7593,66.132195,66.5097,29.611296,0.011636934,42.740314,-73.80448,0.44256264,279.1168,374.00003,286.2774,2299.2776,0.0032480857,32.2912
5758.9595,66.62661,67.00567,29.611267,0.011583517,42.740376,-73.80449,0.4348109,279.1438,374.00003,286.2774,2299.2776,0.0032480857,6.8213882
0,0,0,0,0,0,0,0,0,0,0,0,0,0
5893.174,0.7038252,0.77471524,29.611256,0.011560052,42.737278,-73.80426,0.22575003,279.15567,706.86005,314.82614,2660.686,0.0032480857,988.9651
5893.3735,1.5738103,1.6537845,29.611256,0.011560795,42.737278,-73.80426,0.22660884,279.1553,706.86005,314.82614,2660.686,0.0032480857,968.131
5893.573,2.4381409,2.5152986,29.611256,0.011561092,42.737278,-73.80426,0.22818579,279.15515,706.86005,314.8066,2660.6665,0.0032480857,955.06964
5893.7734,3.263531,3.3722255,29.611256,0.011562379,42.73728,-73.80426,0.22941552,279.1545,706.86005,314.8066,2660.6665,0.0032480857,950.7342
5893.9736,4.134074,4.224312,29.611256,0.011565003,42.737286,-73.80426,0.22973509,279.15317,706.86005,314.8066,2660.6665,0.0032480857,938.6753
5894.174,4.951895,5.067086,29.61126,0.01156832,42.73729,-73.80426,0.22902083,279.1515,706.86005,314.8066,2660.6665,0.0032480857,925.61414
5894.374,5.8039465,5.899767,29.61126,0.01157129,42.737297,-73.80426,0.22796078,279.15,706.86005,314.8066,2660.6665,0.0032480857,918.19305
5894.574,6.6025295,6.731306,29.611263,0.011573765,42.7373,-73.80426,0.22748415,279.14874,706.86005,314.78748,2660.6472,0.0032480857,912.227
5894.7744,7.432014,7.555957,29.611263,0.011576785,42.73731,-73.80426,0.22893004,279.14722,706.86005,314.78748,2660.6472,0.0032480857,903.6154
5894.9746,8.253164,8.385017,29.611267,0.011583072,42.737316,-73.80426,0.23278743,279.14404,706.86005,314.78748,2660.6472,0.0032480857,895.7878
5895.175,9.08189,9.2122555,29.611275,0.011594508,42.737324,-73.80426,0.2376986,279.13824,706.86005,314.78748,2660.6472,0.0032480857,898.6131
5895.375,9.903798,10.037597,29.61128,0.011609855,42.73733,-73.80426,0.24069741,279.1305,706.86005,314.78748,2660.6472,0.0032480857,906.91785
5895.575,10.720454,10.857517,29.611288,0.011624013,42.737343,-73.80426,0.23899353,279.12335,706.86005,314.76834,2660.6282,0.0032480857,911.0069
5895.776,11.522232,11.672775,29.61129,0.011631192,42.737354,-73.80426,0.23468286,279.11972,706.86005,314.76834,2660.6282,0.0032480857,914.9343
5895.976,12.33214,12.476914,29.611292,0.011632627,42.737366,-73.80426,0.23431054,279.119,706.86005,314.76834,2660.6282,0.0032480857,918.1441
5896.176,13.129824,13.277036,29.611296,0.011637281,42.737377,-73.80426,0.2406659,279.11664,706.86005,314.76834,2660.6282,0.0032480857,908.52313
