time,vind_kias,prs,tmp,alt_msl,curr_w
2787.56641,56.51164,30.08699,15.02265,867.5506,2180.93091
2787.76685,57.14635,30.087,15.02266,867.54156,2180.93091
2787.96704,57.79225,30.08704,15.02274,867.49451,2180.91187
2788.16675,58.43774,30.08711,15.02287,867.43335,2180.91187
2788.3667,59.06507,30.08716,15.02297,867.38245,2180.91187
2788.56665,59.67923,30.0872,15.02305,867.34161,2180.91187
2788.76685,60.27189,30.08724,15.02312,867.30847,2180.91187
2788.9668,60.85663,30.08726,15.02316,867.28613,2180.89331
2789.17676,61.46568,30.08728,15.02321,867.26331,2180.89331
2789.37671,62.03282,30.08731,15.02326,867.23767,2180.89331
2789.5769,62.61787,30.08734,15.02332,867.20673,2180.89331
2789.77686,63.20166,30.08738,15.0234,867.16302,2180.89331
2789.97656,63.78627,30.08743,15.0235,867.11035,2180.87451
2790.177,64.35945,30.08748,15.0236,867.06079,2180.87451
2790.37671,64.90737,30.08753,15.02369,867.0188,2180.87451
2790.57666,65.4407,30.08755,15.02374,866.99579,2180.87451
0,0,0,0,0,0
2826.35669,0.51214,30.08733,15.0233,867.21686,2364.42041
2826.55713,0.51214,30.08733,15.0233,867.21735,2364.42041
2826.75659,0.72429,30.08733,15.0233,867.21783,2364.42041
2826.95654,0.88708,30.08733,15.0233,867.21844,2364.42041
2827.15698,1.14522,30.08733,15.0233,867.21906,2364.40894
2827.35693,1.35505,30.08733,15.0233,867.21979,2364.40894
2827.55688,1.61961,30.08733,15.0233,867.22034,2364.40894
2827.75684,1.91635,30.08733,15.0233,867.22095,2364.40894
2827.95679,2.23249,30.08733,15.0233,867.22174,2364.40894
2828.16626,2.66132,30.08733,15.02329,867.2229,2364.39551
2828.36646,3.07303,30.08732,15.02329,867.22406,2364.39551
2828.56616,3.51128,30.08732,15.02329,867.22559,2364.39551
2828.7666,4.0002,30.08732,15.02328,867.22736,2364.39551
2828.9668,4.5523,30.08732,15.02328,867.22955,2364.39551
2829.16626,5.09607,30.08732,15.02327,867.23236,2364.37988
2829.36621,5.68029,30.08731,15.02327,867.23566,2364.37988
2829.57617,6.33526,30.08731,15.02326,867.24011,2364.37988
2829.77661,6.96634,30.08731,15.02325,867.24487,2364.37988
2829.97632,7.63125,30.0873,15.02324,867.25061,2364.37988
2830.17651,8.33762,30.08729,15.02323,867.25659,2364.36304
2830.37622,9.04684,30.08729,15.02321,867.26282,2364.36304
2830.57617,9.77171,30.08728,15.0232,867.26923,2364.36304
2830.77637,10.50899,30.08727,15.02319,867.27612,2364.36304
2830.97656,11.31436,30.08726,15.02317,867.28436,2364.36304
2831.17627,12.04433,30.08725,15.02315,867.29456,2364.34521
2831.37671,12.8249,30.08724,15.02313,867.30859,2364.34521
2831.57666,13.60888,30.08722,15.02309,867.32458,2364.34521
2831.77637,14.39573,30.08721,15.02307,867.33893,2364.34521
2831.97681,15.20227,30.0872,15.02304,867.34973,2364.34521
2832.17676,16.00093,30.08719,15.02302,867.36041,2364.3269
2832.37646,16.80848,30.08717,15.02299,867.37604,2364.3269
2832.57642,17.62367,30.08715,15.02295,867.39758,2364.3269
2832.77661,18.41704,30.08713,15.02291,867.41693,2364.3269
2832.97632,19.23907,30.08712,15.02289,867.42743,2364.3269
2833.17651,20.06011,30.08711,15.02287,867.43506,2364.30859
2833.37622,20.86142,30.0871,15.02285,867.45056,2364.30859
2833.58643,21.74193,30.08707,15.02281,867.4704,2364.30859
2833.78662,22.5067,30.08707,15.02279,867.47589,2364.30859
2833.98633,23.31956,30.08707,15.0228,867.47406,2364.30859
2834.18652,24.12135,30.08707,15.02279,867.4798,2364.29004
2834.38647,24.92365,30.08706,15.02277,867.48486,2364.29004
2834.58667,25.72643,30.08707,15.02279,867.47467,2364.29004
2834.78662,26.52469,30.08708,15.02282,867.46259,2364.29004
2834.97607,27.29481,30.08709,15.02283,867.45514,2364.29004
2835.17651,28.07651,30.0871,15.02286,867.43805,2364.27148
2835.37622,28.86431,30.08713,15.02291,867.41553,2364.27148
2835.57617,29.64002,30.08715,15.02295,867.39478,2364.27148
2835.77637,30.42183,30.08717,15.02299,867.37097,2364.27148
2835.97705,31.19665,30.0872,15.02304,867.34723,2364.27148
2836.17627,31.9609,30.08722,15.02309,867.32178,2364.25269
2836.37646,32.72333,30.08724,15.02313,867.30249,2364.25269
2836.57617,33.47624,30.08726,15.02316,867.28674,2364.25269
2836.77612,34.22791,30.08727,15.0232,867.26971,2364.25269
2836.97607,34.97093,30.08727,15.0232,867.27032,2364.25269
2837.17651,35.71318,30.08728,15.02321,867.26642,2364.23438
2837.37646,36.44392,30.08727,15.02319,867.27631,2364.23438
2837.5769,37.1744,30.08725,15.02315,867.29474,2364.23438
2837.77637,37.90119,30.08724,15.02312,867.31128,2364.23438
2837.97632,38.61769,30.0872,15.02306,867.34552,2364.23438
2838.17676,39.33115,30.08718,15.02301,867.36957,2364.21558
2838.37646,40.03845,30.08714,15.02294,867.40662,2364.21558
2838.57617,40.74313,30.08711,15.02288,867.43335,2364.21558
2838.77661,41.43899,30.08709,15.02283,867.46149,2364.21558
2838.97656,42.13581,30.08707,15.02278,867.48138,2364.21558
2839.17627,42.82435,30.08705,15.02276,867.4931,2364.19727
2839.37671,43.50501,30.08705,15.02275,867.4975,2364.19727
2839.57666,44.1841,30.08705,15.02276,867.48993,2364.19727
2839.78638,44.90259,30.08707,15.02279,867.47736,2364.19727
2839.98657,45.56948,30.08709,15.02283,867.45233,2364.19727
2840.18677,46.23243,30.08711,15.02287,867.43201,2364.17822
2840.38623,46.89719,30.08714,15.02293,867.40057,2364.17822
2840.57666,47.52783,30.08716,15.02297,867.38354,2364.17822
2840.78687,48.21282,30.08718,15.02302,867.36005,2364.17822
2840.98706,48.85065,30.08719,15.02303,867.35315,2364.17822
2841.18628,49.49085,30.0872,15.02304,867.34985,2364.15991
2841.39648,50.1595,30.08719,15.02303,867.35895,2364.15991
2841.59692,50.77803,30.08717,15.023,867.37366,2364.15991
2841.79785,51.40189,30.08715,15.02295,867.39728,2364.15991
2841.99634,52.04599,30.08713,15.02291,867.41669,2364.15991
2842.19653,52.63489,30.0871,15.02286,867.44275,2364.14111
2842.39673,53.24685,30.08709,15.02283,867.45776,2364.14111
2842.59644,53.85429,30.08707,15.0228,867.46985,2364.14111
2842.79639,54.45976,30.08707,15.02279,867.47681,2364.14111
2842.99683,55.0562,30.08707,15.0228,867.47168,2364.14111
2843.19702,55.64624,30.0871,15.02285,867.44116,2364.12256
2843.39673,56.24176,30.08715,15.02295,867.39075,2364.12256
2843.59692,56.83104,30.0872,15.02304,867.34344,2364.12256
2843.79712,57.40512,30.08725,15.02315,867.29138,2364.12256
2843.99683,57.95995,30.08729,15.02322,867.25629,2364.12256
2844.19702,58.51624,30.08732,15.02327,867.23041,2364.104
2844.39648,59.06063,30.08734,15.02332,867.20892,2364.104
2844.59619,59.58905,30.08735,15.02334,867.19525,2364.104
2844.79712,60.09536,30.08736,15.02336,867.18622,2364.104
2844.99683,60.59095,30.08737,15.02338,867.17633,2364.104
